rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
205,1:22.05,,Hurdle Mechanic,,USA,3f1,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1142,4x200-metres-relay,relays,male,senior
206,1:22.06,,Maryland Elite Athletic Club,,INT,2f1,"Raleigh, NC (USA)",01 APR 2000,1142,4x200-metres-relay,relays,male,senior
206,1:22.06,,South Africa,,RSA,1,Port Elizabeth (RSA),01 MAR 2002,1142,4x200-metres-relay,relays,male,senior
206,1:22.06,,Florida,,USA,1f1,"Gainesville, FL (USA)",04 APR 2008,1142,4x200-metres-relay,relays,male,senior
206,1:22.06,,Texas A&M,,INT,1f2,"Austin, TX (USA)",04 APR 2009,1142,4x200-metres-relay,relays,male,senior
206,1:22.06,,Cuba,,CUB,1,La Habana (CUB),15 FEB 2014,1142,4x200-metres-relay,relays,male,senior
211,1:22.07,,Jiangsu,,CHN,2,Chongqing (CHN),25 JUN 2021,1141,4x200-metres-relay,relays,male,senior
211,1:22.07,,Sichuan,,CHN,2,Fuzhou (CHN),22 OCT 2022,1141,4x200-metres-relay,relays,male,senior
213,1:22.08,,South Africa,,RSA,,Port Elizabeth (RSA),01 MAR 2002,1141,4x200-metres-relay,relays,male,senior
213,1:22.08,,Florida,,USA,1f1,"Gainesville, FL (USA)",25 MAR 2005,1141,4x200-metres-relay,relays,male,senior
213,1:22.08,,Zenith Velocity AC,,INT,2f1,"Gainesville, FL (USA)",05 APR 2014,1141,4x200-metres-relay,relays,male,senior
213,1:22.08,,Nigeria,,NGR,4h2,"International Stadium, Yokohama (JPN)",12 MAY 2019,1141,4x200-metres-relay,relays,male,senior
213,1:22.08,,South Florida,,INT,1f4,"Franklin Field, Philadelphia, PA (USA)",26 APR 2024,1141,4x200-metres-relay,relays,male,senior
218,1:22.09,,Florida State,,INT,1,"Tallahassee, FL (USA)",28 MAR 2008,1140,4x200-metres-relay,relays,male,senior
219,1:22.11,,Great Britain & NI,,GBR,1,Glasgow (GBR) (i),03 MAR 1991,1195,4x200-metres-relay,relays,male,senior
220,1:22.12,,Waseda University,,JPN,1,Yokohama (JPN),14 SEP 2014,1139,4x200-metres-relay,relays,male,senior
220,1:22.12,,Arkansas,,USA,1,"Fayetteville, AR (USA)",28 APR 2018,1139,4x200-metres-relay,relays,male,senior
222,1:22.13,,Reebok Enclave,,USA,2f2,"Philadelphia, PA (USA)",29 APR 2000,1139,4x200-metres-relay,relays,male,senior
223,1:22.14,,South Plains,,INT,1f2,"Mike A. Myers Stadium, Austin, TX (USA)",29 MAR 2025,1139,4x200-metres-relay,relays,male,senior
224,1:22.15,,Canada,,CAN,2,"Philadelphia, PA (USA)",24 APR 2004,1138,4x200-metres-relay,relays,male,senior
225,1:22.16,,RED,,USA,1,"Prairie View, TX (USA)",24 MAR 2018,1138,4x200-metres-relay,relays,male,senior
225,1:22.16,,Star Athletics,,INT,1,"Prairie View, TX (USA)",03 APR 2021,1138,4x200-metres-relay,relays,male,senior
227,1:22.17,,Jamaica,,JAM,1,"Philadelphia, PA (USA)",27 APR 2002,1137,4x200-metres-relay,relays,male,senior
227,1:22.17,,Zenith Velocity AC,,INT,1f1,"Gainesville, FL (USA)",06 APR 2013,1137,4x200-metres-relay,relays,male,senior
227,1:22.17,,USC,,INT,1f2,"Gainesville, FL (USA)",05 APR 2014,1137,4x200-metres-relay,relays,male,senior
230,1:22.18,,Bahamas,,BAH,4h1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1137,4x200-metres-relay,relays,male,senior
230,1:22.18,,Beijing,,CHN,4,"Shangyu Stadium, Shaoxing (CHN)",17 SEP 2023,1137,4x200-metres-relay,relays,male,senior
232,1:22.19,,Fujian,,CHN,1,Fuzhou (CHN),23 MAY 2021,1137,4x200-metres-relay,relays,male,senior
233,1:22.20,,Jiangsu,,CHN,1,Chengdu (CHN),16 MAY 2021,1136,4x200-metres-relay,relays,male,senior
234,1:22.21,,South Carolina,,INT,3f1,"Philadelphia, PA (USA)",24 APR 2010,1136,4x200-metres-relay,relays,male,senior
235,1:22.22,,Star Athletics,,INT,2f1,"Gainesville, FL (USA)",06 APR 2013,1136,4x200-metres-relay,relays,male,senior
236,1:22.23,,St. Augustine's,,INT,2f2,"Gainesville, FL (USA)",05 APR 2014,1135,4x200-metres-relay,relays,male,senior
236,1:22.23,,USATF High Performance C,,USA,1f2,"Gainesville, FL (USA)",30 MAR 2019,1135,4x200-metres-relay,relays,male,senior
236,1:22.23,,Texas A&M,,USA,2f4,"Franklin Field, Philadelphia, PA (USA)",25 APR 2025,1135,4x200-metres-relay,relays,male,senior
239,1:22.25,,Duncanville High School,,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",05 MAY 2024,1135,4x200-metres-relay,relays,male,senior
240,1:22.26,,Elite Athetes international,,INT,3f1,"Gainesville, FL (USA)",04 APR 2015,1134,4x200-metres-relay,relays,male,senior
241,1:22.28,,GW Exp,,USA,1f1,"Raleigh, NC (USA)",31 MAR 2012,1133,4x200-metres-relay,relays,male,senior
241,1:22.28,,Texas A&M,,USA,2f2,"Austin, TX (USA)",01 APR 2017,1133,4x200-metres-relay,relays,male,senior
243,1:22.29,,South Carolina,,INT,2f1,"Gainesville, FL (USA)",03 APR 2009,1133,4x200-metres-relay,relays,male,senior
243,1:22.29,,Jiangsu,,CHN,1f1,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1133,4x200-metres-relay,relays,male,senior
245,1:22.31,,Texas A&M,,INT,4f1,"Philadelphia, PA (USA)",24 APR 2010,1132,4x200-metres-relay,relays,male,senior
245,1:22.31,,Louisiana State,,INT,2,"Baton Rouge, LA (USA)",29 APR 2017,1132,4x200-metres-relay,relays,male,senior
247,1:22.32,,Italy,,ITA,1,Torino (ITA) (i),11 FEB 1984,1186,4x200-metres-relay,relays,male,senior
248,1:22.33,,Arkansas,,INT,1h2,"Philadelphia, PA (USA)",29 APR 2005,1132,4x200-metres-relay,relays,male,senior
248,1:22.33,,Texas,,INT,3f2,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2024,1132,4x200-metres-relay,relays,male,senior
250,1:22.34,,Shandong,,CHN,2f2,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1131,4x200-metres-relay,relays,male,senior
251,1:22.35,,St. Augustine's,,INT,4,"Philadelphia, PA (USA)",25 APR 2009,1131,4x200-metres-relay,relays,male,senior
251,1:22.35,,Kenya,,KEN,5,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1131,4x200-metres-relay,relays,male,senior
253,1:22.36,,Tennessee,,USA,1h2,"Philadelphia, PA (USA)",27 APR 2007,1130,4x200-metres-relay,relays,male,senior
253,1:22.36,,Saint Kitts and Nevis,,SKN,2h2,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1130,4x200-metres-relay,relays,male,senior
255,1:22.37,,Fujian,,CHN,1h2,"Shangyu Stadium, Shaoxing (CHN)",15 SEP 2023,1130,4x200-metres-relay,relays,male,senior
255,1:22.37,,Sichuan,,CHN,1f1,"Shangyu Stadium, Shaoxing (CHN)",21 SEP 2024,1130,4x200-metres-relay,relays,male,senior
257,1:22.38,,Poland,,POL,3h2,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1130,4x200-metres-relay,relays,male,senior
257,1:22.38,,South Carolina,,INT,1,"Philadelphia, PA (USA)",30 APR 2016,1130,4x200-metres-relay,relays,male,senior
259,1:22.39,,Florida,,USA,1h2,"Philadelphia, PA (USA)",23 APR 2010,1129,4x200-metres-relay,relays,male,senior
259,1:22.39,,Beijing,,CHN,1f3,"Shangyu Stadium, Shaoxing (CHN)",21 SEP 2024,1129,4x200-metres-relay,relays,male,senior
261,1:22.40,,South Carolina,,INT,3,"Philadelphia, PA (USA)",28 APR 2001,1129,4x200-metres-relay,relays,male,senior
261,1:22.40,,Bahamas,,BAH,2h1,"International Stadium, Yokohama (JPN)",12 MAY 2019,1129,4x200-metres-relay,relays,male,senior
261,1:22.40,,Shandong,,CHN,3h2,Xi'an (CHN),21 SEP 2021,1129,4x200-metres-relay,relays,male,senior
