rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
166,1:54.92,,Saudi Arabia U18,,KSA,3h2,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
168,1:54.93,,Japan U18,,JPN,3h1,Sherbrooke (CAN),12 JUL 2003,,medley-relay,relays,male,u18
168,1:54.93,,Croatia U18,,CRO,2h3,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,male,u18
170,1:54.95,,Czechia U18,,CZE,2h2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,male,u18
171,1:54.98,,Hungary U18,,HUN,1h2,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
172,1:54.99,,Poland U18,,POL,4h1,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
173,1:55.00,,Poland U18,,POL,1h2,"Olimpiai Sportpark, Győr (HUN)",07 JUL 2018,,medley-relay,relays,male,u18
173,1:55.00,,Hungary U18,,HUN,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",29 JUN 2022,,medley-relay,relays,male,u18
173,1:55.00,,India U18,,IND,1h1,"Prince Nayef Sports City, Qatif (KSA)",17 APR 2025,,medley-relay,relays,male,u18
176,1:55.05,,Slovenia U18,,SLO,2,Miskolc (HUN),16 JUN 2017,,medley-relay,relays,male,u18
176,1:55.05,,Switzerland U18,,SUI,4f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,medley-relay,relays,male,u18
178,1:55.10,,Kenya U18,,KEN,2h4,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
178,1:55.10,,Norway U18,,NOR,4h3,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
180,1:55.15,,Czech Republic U18,,CZE,1,"Štadión PFK, Piešťany (SVK)",05 JUL 2024,,medley-relay,relays,male,u18
181,1:55.17,,Slovenia U18,,SLO,1,Brno (CZE),11 JUN 2016,,medley-relay,relays,male,u18
182,1:55.18,,Switzerland U18,,SUI,2h2,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
183,1:55.19,,Iraq U18,,IRQ,3h3,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
184,1:55.20,,India U18,,IND,1,Al-Kuwait (KUW),16 OCT 2022,,medley-relay,relays,male,u18
185,1:55.24,,Hungary U18,,HUN,3h1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,,medley-relay,relays,male,u18
186,1:55.29,,Poland U18,,POL,2h3,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,male,u18
186,1:55.29,,PR of China U18,,CHN,2h2,"Prince Nayef Sports City, Qatif (KSA)",17 APR 2025,,medley-relay,relays,male,u18
188,1:55.30,,Austria U18,,AUT,3h2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,male,u18
189,1:55.33,,Italy U18,,ITA,1h1,"Olimpiai Sportpark, Győr (HUN)",07 JUL 2018,,medley-relay,relays,male,u18
190,1:55.35,,Hungary U18,,HUN,5,"New District Stadium, Tbilisi (GEO)",17 JUL 2016,,medley-relay,relays,male,u18
191,1:55.36,,France U18,,FRA,3h3,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,male,u18
192,1:55.37,,Mexico U18,,MEX,4h2,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,male,u18
