rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
108,2:58.82,,Georgia,,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.82,USA,,2023
108,2:58.82,,United States,,USA,1h1,"DS, Daegu (KOR)",2011-09-01,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.82,KOR,,2011
111,2:58.83,,Arkansas,,USA,2,"Hayward Field, Eugene, OR (USA)",2024-06-07,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.82999999999998,USA,,2024
111,2:58.83,,United States U23,,USA,1,"Miramar, FL (USA)",2010-07-11,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.82999999999998,USA,,2010
113,2:58.84,,Jamaica,,JAM,1sf1,"Olympic Stadium, Sydney (AUS)",2000-09-29,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.84,AUS,,2000
114,2:58.86,,Great Britain & NI,,GBR,2,"Stadio Olimpico, Roma (ITA)",1987-09-06,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.86,ITA,,1987
115,2:58.87,,United States,,USA,2h2,"Olympic Stadium, London (GBR)",2012-08-09,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.87,GBR,,2012
115,2:58.87,,Bahamas,,BAH,1h2,"Olympic Stadium, London (GBR)",2012-08-09,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.87,GBR,,2012
117,2:58.88,,Florida,,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-10,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.88,USA,,2022
117,2:58.88,,Poland,,POL,2,"Népstadion, Budapest (HUN)",1998-08-23,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.88,HUN,,1998
117,2:58.88,,Great Britain & NI,,GBR,2h1,"Stade de France, Paris (FRA)",2024-08-09,1215,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.88,FRA,,2024
120,2:58.91,,Poland,,POL,1,"La Cartuja, Sevilla (ESP)",1999-08-29,1214,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.91,ESP,,1999
120,2:58.91,,Italy,,ITA,4h1,"National Stadium, Tokyo (JPN)",2021-08-06,1214,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.91,JPN,,2021
120,2:58.91,,Bahamas,,BAH,2f1,"T. Robinson Stadium, Nassau (BAH)",2015-05-03,1214,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.91,BAH,,2015
123,2:58.92,,Jamaica,,JAM,2,"Philadelphia, PA (USA)",2000-04-29,1214,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.92000000000002,USA,,2000
124,2:58.96,,France,,FRA,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-31,1213,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.96,FRA,,2003
124,2:58.96,,United States,,USA,1h1,"Hayward Field, Eugene, OR (USA)",2022-07-23,1213,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.96,USA,,2022
126,2:58.98,,Florida,,INT,3,"Hayward Field, Eugene, OR (USA)",2024-06-07,1213,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.98,USA,,2024
127,2:59.00,,Great Britain & NI,,GBR,3,"Olympic Stadium, London (GBR)",2017-08-13,1213,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.0,GBR,,2017
127,2:59.00,,USC,,USA,1,"Eugene, OR (USA)",2018-06-08,1213,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.0,USA,,2018
127,2:59.00,,Americas,,INT,1,"Poljud Stadion, Split (CRO)",2010-09-05,1213,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.0,CRO,,2010
130,2:59.02,,Bahamas,,BAH,2sf1,"Olympic Stadium, Sydney (AUS)",2000-09-29,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.02,AUS,,2000
131,2:59.03,,Jamaica,,JAM,1,Kuala Lumpur (MAS),1998-09-21,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.03,MAS,,1998
131,2:59.03,,Arkansas,,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",2024-05-11,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.03,USA,,2024
133,2:59.05,,India,,IND,2h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.05,HUN,,2023
133,2:59.05,,Great Britain & NI,,GBR,1h1,"National Stadium, Beijing (CHN)",2015-08-29,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.05,CHN,,2015
133,2:59.05,,Texas A&M,,USA,1,"Austin, TX (USA)",2019-06-07,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.05,USA,,2019
136,2:59.06,,Alabama,,INT,2f2,"Percy Beard Track, Gainesville, FL (USA)",2024-05-11,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.06,USA,,2024
136,2:59.06,,United States,,USA,1sf2,"Stadio Olimpico, Roma (ITA)",1987-09-05,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.06,ITA,,1987
136,2:59.06,,Botswana,,BOT,5,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-20,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.06,BRA,,2016
136,2:59.06,,Netherlands,,NED,5h1,"National Stadium, Tokyo (JPN)",2021-08-06,1212,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.06,JPN,,2021
140,2:59.11,,Botswana,,BOT,1f1,"The Bahamas National Stadium, Nassau (BAH)",2024-05-05,1211,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.11,BAH,,2024
141,2:59.12,,United States,,USA,1,"Stadio Olimpico, Roma (ITA)",1981-09-06,1211,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.12,ITA,,1981
141,2:59.12,,Zambia,,ZAM,1,"University of Ghana Sports Stadium, Accra (GHA)",2024-03-22,1211,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.12,GHA,,2024
143,2:59.13,,Cuba,,CUB,1h2,"Estadio Olímpico, Barcelona (ESP)",1992-08-07,1211,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.13,ESP,,1992
143,2:59.13,,Jamaica,,JAM,2h1,"DS, Daegu (KOR)",2011-09-01,1211,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.13,KOR,,2011
143,2:59.13,,Jamaica,,JAM,4h2,"National Stadium, Tokyo (JPN)",2025-09-20,1211,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.13,JPN,,2025
143,2:59.13,,Great Britain & NI,,GBR,1,"Olympiastadion, Helsinki (FIN)",1994-08-14,1211,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,179.13,FIN,,1994
