rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
181,42.15,,Jamaica,,JAM,3,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1214,4x100-metres-relay,relays,female,senior
181,42.15,,Jamaica,,JAM,1sf2,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1214,4x100-metres-relay,relays,female,senior
181,42.15,,Netherlands,,NED,2,"Olympiastadion, Berlin (GER)",12 AUG 2018,1214,4x100-metres-relay,relays,female,senior
181,42.15,,Jamaica,,JAM,3h1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1214,4x100-metres-relay,relays,female,senior
181,42.15,,Texas,,INT,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1214,4x100-metres-relay,relays,female,senior
181,42.15,,France,,FRA,2,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1214,4x100-metres-relay,relays,female,senior
181,42.15,,Germany,,GER,2h1,"Stade de France, Paris (FRA)",08 AUG 2024,1214,4x100-metres-relay,relays,female,senior
188,42.16,,Unified Team,,EUN,2,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1214,4x100-metres-relay,relays,female,senior
188,42.16,,United States,,USA,1h1,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1214,4x100-metres-relay,relays,female,senior
188,42.16,,Switzerland,,SUI,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1214,4x100-metres-relay,relays,female,senior
191,42.17,,Germany,,GER,1,"Olympiastadion, Berlin (GER)",27 AUG 2017,1214,4x100-metres-relay,relays,female,senior
192,42.18,,Germany,,GER,1h2,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1213,4x100-metres-relay,relays,female,senior
192,42.18,,Switzerland,,SUI,4,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1213,4x100-metres-relay,relays,female,senior
192,42.18,,United States,,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",19 APR 2025,1213,4x100-metres-relay,relays,female,senior
192,42.18,,Spain,,ESP,12,"Tianhe Sports Center, Guangzhou (CHN)",10 MAY 2025,1213,4x100-metres-relay,relays,female,senior
196,42.19,,Europa,,INT,1,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1213,4x100-metres-relay,relays,female,senior
196,42.19,,German Democratic Republic,,GDR,1,"Olympic Stadium, Athina (GRE)",11 SEP 1982,1213,4x100-metres-relay,relays,female,senior
196,42.19,,Bahamas,,BAH,1sf2,"Olympic Stadium, Athina (GRE)",08 AUG 1997,1213,4x100-metres-relay,relays,female,senior
196,42.19,,Bahamas,,BAH,2,"New York, NY (USA)",22 JUL 1998,1213,4x100-metres-relay,relays,female,senior
196,42.19,,United States Red,,USA,1,"Philadelphia, PA (USA)",28 APR 2012,1213,4x100-metres-relay,relays,female,senior
196,42.19,,Jamaica,,JAM,3,"Olympic Stadium, London (GBR)",12 AUG 2017,1213,4x100-metres-relay,relays,female,senior
