rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
127,2:59.00,,Great Britain & NI,,GBR,3,"Olympic Stadium, London (GBR)",13 AUG 2017,1213,4x400-metres-relay,relays,male,senior
127,2:59.00,,USC,,USA,1,"Eugene, OR (USA)",08 JUN 2018,1213,4x400-metres-relay,relays,male,senior
130,2:59.02,,Bahamas,,BAH,2sf1,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1212,4x400-metres-relay,relays,male,senior
131,2:59.03,,Jamaica,,JAM,1,Kuala Lumpur (MAS),21 SEP 1998,1212,4x400-metres-relay,relays,male,senior
131,2:59.03,,Arkansas,,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1212,4x400-metres-relay,relays,male,senior
133,2:59.05,,Great Britain & NI,,GBR,1h1,"National Stadium, Beijing (CHN)",29 AUG 2015,1212,4x400-metres-relay,relays,male,senior
133,2:59.05,,Texas A&M,,USA,1,"Austin, TX (USA)",07 JUN 2019,1212,4x400-metres-relay,relays,male,senior
133,2:59.05,,India,,IND,2h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1212,4x400-metres-relay,relays,male,senior
136,2:59.06,,United States,,USA,1sf2,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1212,4x400-metres-relay,relays,male,senior
136,2:59.06,,Botswana,,BOT,5,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1212,4x400-metres-relay,relays,male,senior
136,2:59.06,,Netherlands,,NED,5h1,"National Stadium, Tokyo (JPN)",06 AUG 2021,1212,4x400-metres-relay,relays,male,senior
136,2:59.06,,Alabama,,INT,2f2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1212,4x400-metres-relay,relays,male,senior
140,2:59.11,,Botswana,,BOT,1f1,"The Bahamas National Stadium, Nassau (BAH)",05 MAY 2024,1211,4x400-metres-relay,relays,male,senior
141,2:59.12,,United States,,USA,1,"Stadio Olimpico, Roma (ITA)",06 SEP 1981,1211,4x400-metres-relay,relays,male,senior
141,2:59.12,,Zambia,,ZAM,1,"University of Ghana Sports Stadium, Accra (GHA)",22 MAR 2024,1211,4x400-metres-relay,relays,male,senior
