rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
156,2:10.64,,Italy U18,,ITA,7,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,female,u18
156,2:10.64,,Slovenia U18,,SLO,5,"New District Stadium, Tbilisi (GEO)",17 JUL 2016,,medley-relay,relays,female,u18
158,2:10.65,,Sunshine Youth Sports Club,,CHN,1,"Shanxi Sports Center Stadium, Taiyuan (CHN)",16 AUG 2019,,medley-relay,relays,female,u18
159,2:10.66,,Japan U18,,JPN,6f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,female,u18
160,2:10.68,,Czech Republic U18,,CZE,1,"Štadión PFK, Piešťany (SVK)",05 JUL 2024,,medley-relay,relays,female,u18
161,2:10.72,,Jamaica U18,,JAM,2h3,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,female,u18
161,2:10.72,,Poland U18,,POL,4f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,medley-relay,relays,female,u18
163,2:10.74,,Spain U18,,ESP,1h1,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,female,u18
163,2:10.74,,Spain U18,,ESP,7,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,female,u18
165,2:10.75,,Norway U18,,NOR,3h3,Baku (AZE),26 JUL 2019,,medley-relay,relays,female,u18
166,2:10.76,,South Africa U18,,RSA,8,Lille (FRA),10 JUL 2011,,medley-relay,relays,female,u18
167,2:10.79,,Jamaica U18,,JAM,3h1,Sherbrooke (CAN),12 JUL 2003,,medley-relay,relays,female,u18
167,2:10.79,,Brazil U18,,BRA,4h2,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
169,2:10.80,,Hungary U18,,HUN,2,"Štadión PFK, Piešťany (SVK)",05 JUL 2024,,medley-relay,relays,female,u18
170,2:10.83,,Italy U18,,ITA,3h1,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
171,2:10.85,,Hungary U18,,HUN,3h3,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
171,2:10.85,,Czech Republic U18,,CZE,1,Budapest (HUN),04 JUL 2014,,medley-relay,relays,female,u18
171,2:10.85,,Portugal U18,,POR,4,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,medley-relay,relays,female,u18
174,2:10.93,,Romania U18,,ROU,7f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,female,u18
