rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
87,1:53.65,,France U18,,FRA,7f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,male,u18,medley-relay,track,113.65,SVK,,2024
88,1:53.66,,Jamaica U18,,JAM,2h4,Lille (FRA),2011-07-09,,medley-relay,relays,male,u18,medley-relay,track,113.66,FRA,,2011
89,1:53.69,,South Africa U18,,RSA,1h1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,male,u18,medley-relay,track,113.69,POL,,1999
90,1:53.70,,Poland U18,,POL,1,"Štadión SNP, Banská Bystrica (SVK)",2022-07-30,,medley-relay,relays,male,u18,medley-relay,track,113.7,SVK,,2022
91,1:53.71,,South Africa U18,,RSA,1h1,Debrecen (HUN),2001-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.71000000000001,HUN,,2001
91,1:53.71,,Sudan U18,,SUD,4f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,male,u18,medley-relay,track,113.71000000000001,MAR,,2005
91,1:53.71,,Germany U18,,GER,3,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,male,u18,medley-relay,track,113.71000000000001,MKD,,2025
94,1:53.72,,Italy U18,,ITA,3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,male,u18,medley-relay,track,113.72,SLO,,2023
95,1:53.75,,Great Britain & NI U18,,GBR,3f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,male,u18,medley-relay,track,113.75,ISR,,2022
96,1:53.80,,Poland U18,,POL,3,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,male,u18,medley-relay,track,113.8,GEO,,2016
97,1:53.82,,Turkey U18,,TUR,2h3,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,male,u18,medley-relay,track,113.82,MKD,,2025
98,1:53.83,,Saudi Arabia U18,,KSA,1h4,Ostrava (CZE),2007-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.83,CZE,,2007
