rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
62,41.79,,Team Jet,,INT,1,"Walnut, CA (USA)",2013-04-20,1230,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.79,USA,,2013
62,41.79,,Jamaica,,JAM,1h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1230,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.79,BRA,,2016
62,41.79,,Jamaica,,JAM,2,"National Stadium, Tokyo (JPN)",2025-09-21,1230,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.79,JPN,,2025
66,41.8,,Jamaica,,JAM,1h1,"National Stadium, Tokyo (JPN)",2025-09-20,1230,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.8,JPN,,2025
67,41.81,,Great Britain & NI,,GBR,1,"Olympic Stadium, London (GBR)",2016-07-22,1229,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.81,GBR,,2016
68,41.82,,United States,,USA,1h3,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1229,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.82,RUS,,2013
68,41.82,,United States,,USA,1,"Olympic Stadium, London (GBR)",2017-08-12,1229,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.82,GBR,,2017
70,41.83,,United States,,USA,2,"Stade de France, Paris-St-Denis (FRA)",2003-08-30,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.83,FRA,,2003
70,41.83,,Jamaica,,JAM,1,"Hampden Park, Glasgow (GBR)",2014-08-02,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.83,GBR,,2014
70,41.83,,United States,,USA,2,"Letzigrund, Zürich (SUI)",2015-09-03,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.83,SUI,,2015
73,41.84,,German Democratic Republic,,GDR,1,"Neckarstadion, Stuttgart (GER)",1986-08-31,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.84,GER,,1986
73,41.84,,Jamaica,,JAM,1h1,"National Stadium, Beijing (CHN)",2015-08-29,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.84,CHN,,2015
73,41.84,,United States,,USA,1h1,"Olympic Stadium, London (GBR)",2017-08-12,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.84,GBR,,2017
76,41.85,,German Democratic Republic,,GDR,1,Potsdam (GDR),1980-07-13,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.85,GDR,,1980
